run_date,run_timestamp,country,state,geo_scope,category,site_or_source,source_tier,item_key,product_name_raw,pack_size,pack_unit,price_ngn,unit_price_ngn,n_reports,url_or_ref,scrape_status
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,toilet_roll,Boulos Rose Belle Toilet Tissue 2 Ply 4 Rolls x12,12,piece,465,38.75,,https://www.supermart.ng/products/boulos-rose-belle-toilet-tissue-2-ply-4-rolls-x12,ok
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,toilet_roll,Boulos Rose Belle Toilet Tissue 2 Ply 48 Rolls,1,piece,27960,27960,,https://www.supermart.ng/products/boulos-rose-belle-toilet-tissue-2-ply-48-rolls,ok
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,toilet_roll,Boulos Rose Carla Toilet Tissue 2 Ply 1 Roll,1,piece,280,280,,https://www.supermart.ng/products/boulos-rose-carla-toilet-tissue-2-ply-1-roll,ok
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,toilet_roll,Boulos Rose Carla Toilet Tissue 2 Ply 12 Rolls,1,piece,13440,13440,,https://www.supermart.ng/products/boulos-rose-carla-toilet-tissue-2-ply-12-rolls,ok
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,toilet_roll,Boulos Rose Carla Toilet Tissue 2 Ply 4 Rolls,1,piece,815,815,,https://www.supermart.ng/products/boulos-rose-carla-toilet-tissue-2-ply-4-rolls,ok
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,toilet_roll,Boulos Rose Carla Toilet Tissue 2 Ply 48 Rolls,1,piece,53760,53760,,https://www.supermart.ng/products/boulos-rose-carla-toilet-tissue-2-ply-48-rolls,ok
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,toilet_roll,Boulos Rose Carla Toilet Tissue 2 Ply 6 Rolls,1,piece,1290,1290,,https://www.supermart.ng/products/boulos-rose-carla-toilet-tissue-2-ply-6-rolls,ok
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,toilet_roll,Boulos Rose Plus Toilet Tissue 2 Ply 1 Roll,1,piece,300,300,,https://www.supermart.ng/products/boulos-rose-plus-toilet-tissue-2-ply-1-roll,ok
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,toilet_roll,Boulos Rose Plus Toilet Tissue 2 Ply 12 Rolls,1,piece,3620,3620,,https://www.supermart.ng/products/boulos-rose-plus-toilet-tissue-2-ply-12-rolls,ok
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,toilet_roll,Boulos Rose Plus Toilet Tissue 2 Ply 48 Rolls,1,piece,14450,14450,,https://www.supermart.ng/products/boulos-rose-plus-toilet-tissue-2-ply-48-rolls,ok
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,toilet_roll,Boulos Rose Plus Toilet Tissue 2 Ply 6 Rolls,1,piece,420,420,,https://www.supermart.ng/products/boulos-rose-plus-toilet-tissue-2-ply-6-rolls,ok
