run_date,run_timestamp,country,state,geo_scope,category,site_or_source,source_tier,item_key,product_name_raw,pack_size,pack_unit,price_ngn,unit_price_ngn,n_reports,url_or_ref,scrape_status,spec_json,channel,transaction_basis,sku
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Tandoori Chicken Tikka Family Pack 500 g,0.5,kg,15610,31220,,https://www.supermart.ng/products/al-kabeer-tandoori-chicken-tikka-family-pack-500-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Turkish Chicken Kebabs 360 g x6,2.16,kg,3330,1541.67,,https://www.supermart.ng/products/al-kabeer-turkish-chicken-kebabs-360-g-x6,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Zing Chicken Strips 320 g,0.32,kg,13100,40937.5,,https://www.supermart.ng/products/al-kabeer-zing-chicken-strips-320-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Taghziah Chicken Hot Dogs 450 g x10,4.5,kg,1335,296.67,,https://www.supermart.ng/products/al-taghziah-chicken-hot-dogs-450-g-x10,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Taghziah Chicken Luncheon Meat 200 g,0.2,kg,650,3250,,https://www.supermart.ng/products/al-taghziah-chicken-luncheon-meat-200-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Taghziah Chicken Luncheon Meat 340 g,0.34,kg,4520,13294.12,,https://www.supermart.ng/products/al-taghziah-chicken-luncheon-meat-340-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al'Fez Moroccan Style Chicken Tagine Sauce 450 g,0.45,kg,18650,41444.44,,https://www.supermart.ng/products/alfez-moroccan-style-chicken-tagine-sauce-450-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al'Fez Turkish Style Chicken Shish Spice Mix 25 g,0.625,kg,7660,12256,,https://www.supermart.ng/products/alfez-turkish-style-chicken-shish-spice-mix-25-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,fish_frozen,All Day Sardines 125 g,0.125,kg,1370,10960,,https://www.supermart.ng/products/all-day-sardines-125-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,salt,All Natural Pink Himalayan Rock Salt Mill 90 g,0.09,kg,6630,73666.67,,https://www.supermart.ng/products/all-natural-pink-himalayan-rock-salt-mill-90-g,ok,,,,
